name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Action Construction Equipment,https://scanx.trade/company/action-construction-equipment-ltd,895.2,2.25%,877.05,"2,92,064","10,660.33",24.65,24.35,"1,389.00",775.45,-8.35%,-18.43%,-27.31%,171.64%,483.19%,5.85,0.23%,26.65%,35.46%,28.95,914.94,"1,077.88",53.94,50.00%,65.00%
Godrej Agrovet,https://scanx.trade/company/godrej-agrovet-ltd,553.75,-0.84%,558.45,"1,20,012","10,650.22",26.28,30.92,876.35,506.1,-3.52%,-14.70%,-29.19%,23.80%,4.16%,5.94,1.97%,12.31%,20.74%,20.26,563.46,689.51,52.52,68.81%,80.00%
Railtel Corporation of India,https://scanx.trade/company/railtel-corporation-of-india-ltd,330.8,-1.19%,335,"5,13,128","10,616.64",81.09,-3.3,478.95,265.5,-12.06%,-9.17%,-7.08%,201.96%,172.60%,6.23,0.60%,11.47%,14.28%,5.84,343.44,367.5,43.54,60.66%,80.00%
Happy Forgings,https://scanx.trade/company/happy-forgings-ltd,"1,124.60",-0.40%,"1,120.00","14,781","10,608.12",39.21,21.9,"1,193.60",724.1,-5.16%,10.99%,8.98%,9.10%,9.10%,5.43,0.27%,15.07%,19.43%,25.77,"1,081.08",971.93,58,50.00%,-
Mahanagar Gas,https://scanx.trade/company/mahanagar-gas-ltd,"1,071.50",-0.53%,"1,072.00","83,372","10,584.04",10.87,38.29,"1,586.90","1,018.60",-6.17%,-15.24%,-19.89%,26.01%,-2.70%,1.71,2.79%,24.86%,21.64%,121.15,"1,111.11","1,284.61",47.08,74.26%,80.00%
Whirlpool,https://scanx.trade/company/whirlpool-of-india-ltd,832.35,4.65%,799,"14,76,500","10,560.18",28.7,54.76,"1,473.80",756.85,-7.98%,-39.44%,-27.62%,-33.98%,-65.96%,2.48,0.63%,5.84%,11.63%,23.58,888.05,"1,195.87",49.87,66.48%,80.00%
Titagarh Rail Systems,https://scanx.trade/company/titagarh-wagons-ltd,780,-1.79%,794.25,"2,74,528","10,504.55",54.8,24.35,974.35,654.55,-12.39%,-11.29%,-13.49%,296.54%,1363.41%,4.21,0.13%,13.00%,17.07%,21.8,813.21,859.08,42.62,69.11%,70.00%
Sharda Cropchem,https://scanx.trade/company/sharda-cropchem-ltd,"1,162.70",1.68%,"1,138.10","4,37,412","10,489.94",18.23,22.23,"1,200.50",452.25,35.96%,43.33%,107.85%,141.65%,305.33%,3.85,0.79%,1.43%,13.89%,16.38,888.13,837.22,75.74,50.00%,65.00%
Prudent Corporate Advisory Services,https://scanx.trade/company/prudent-corporate-advisors-ltd,"2,530.50",-2.86%,"2,599.00","91,223","10,477.96",50.29,3.47,"3,098.00","1,570.00",-2.45%,-1.26%,16.63%,178.44%,350.47%,14.16,0.10%,33.34%,37.36%,37.41,"2,511.48","2,635.38",56.86,50.00%,65.00%
Shipping Corporation of India,https://scanx.trade/company/shipping-corporation-of-india-ltd,223.23,-1.24%,227,"11,55,968","10,398.03",13.09,20.17,280.5,138.26,-5.04%,-10.78%,15.98%,85.64%,154.68%,1.23,2.92%,12.61%,10.31%,17.15,220.81,218.23,53.65,61.32%,80.00%
Lumax Auto Technologies,https://scanx.trade/company/lumax-auto-technologies-ltd,"1,521.00",-0.46%,"1,532.40","1,19,547","10,366.79",38.87,173.23,"1,703.10",449,-8.12%,26.83%,178.52%,564.77%,1088.28%,9.84,0.36%,13.13%,21.29%,20.5,"1,500.73","1,160.56",56.66,0.00%,70.00%
Sandur Manganese & Iron Ores,https://scanx.trade/company/sanduma.ltd,212.94,-7.98%,221.91,"32,72,503","10,351.12",18.74,-107.53,273,112.4,-19.56%,-3.18%,68.97%,140.01%,140.01%,3.87,0.18%,14.02%,18.11%,21.24,221.99,184.17,44.82,50.00%,70.00%
Medplus Health Services,https://scanx.trade/company/medplus-health-services-ltd,863.15,-2.18%,876.95,"78,451","10,342.49",51.07,34.45,"1,045.30",678.05,6.79%,6.79%,12.30%,34.69%,-23.01%,5.73,-,3.36%,10.27%,6.36,813.26,832.83,61.93,50.00%,60.00%
HEG,https://scanx.trade/company/heg-ltd,535.65,-1.12%,544,"5,81,661","10,336.84",40.63,34.85,672,331.25,-13.56%,-7.60%,43.59%,165.04%,152.82%,2.24,0.33%,7.04%,4.37%,50.68,555.2,520.12,43.95,50.00%,75.00%
Safari Industries,https://scanx.trade/company/safari-industries-ltd,"2,106.00",1.27%,"2,079.00","18,085","10,317.77",61.35,17.06,"2,520.95","1,670.15",-2.88%,0.05%,-11.64%,136.86%,661.11%,9.76,0.14%,21.35%,18.64%,34.92,"2,183.00","2,168.65",53.27,50.00%,80.00%
INOX India,https://scanx.trade/company/inox-india-ltd,"1,134.20",0.35%,"1,125.10","54,587","10,294.40",41.61,11.76,"1,288.00",885.1,0.30%,-6.58%,20.65%,20.67%,20.67%,10.44,0.18%,30.20%,34.06%,21.11,"1,128.10","1,159.00",54.59,60.00%,70.00%
Jaiprakash Power Ventures,https://scanx.trade/company/jaiprakash-power-ventures-ltd,14.98,-7.01%,15.15,"5,34,21,125","10,266.48",17.9,22.3,27.7,12.36,-15.32%,-16.27%,-0.27%,120.29%,435.00%,0.87,-,8.91%,10.06%,2.3,17.12,17.84,40.56,36.00%,75.00%
Nazara Technologies,https://scanx.trade/company/nazara-technologies-ltd,276.9,-0.72%,280,"24,29,411","10,258.18",340.43,-3.3,363.25,221.35,-2.89%,2.69%,15.30%,102.66%,39.15%,3.05,-,4.82%,2.50%,11.95,259.03,289.17,52.9,50.00%,70.00%
Lemon Tree Hotels,https://scanx.trade/company/lemon-tree-hotels-ltd,129.37,0.15%,129.45,"23,11,627","10,249.29",36.82,225.72,180.68,117.51,-15.99%,-23.00%,-12.27%,71.58%,204.04%,8.28,-,9.94%,13.58%,1.83,149.74,152.14,36.05,67.71%,80.00%
Metropolis Healthcare,https://scanx.trade/company/metropolis-healthcare-ltd,"1,972.50",4.03%,"1,924.50","4,10,118","10,221.89",61.7,-67.01,"2,263.00","1,315.00",2.03%,-2.87%,13.50%,61.13%,-11.49%,6.84,-,11.69%,13.32%,26.74,"1,910.40","1,906.88",59.66,60.00%,75.00%
Tamilnad Mercantile Bank,https://scanx.trade/company/tamilnad-mercantile-bank-ltd,643.6,3.19%,627.95,"11,79,329","10,191.50",7.85,9.74,643.7,401,21.94%,29.94%,47.29%,36.82%,26.28%,1.01,0.01%,14.86%,6.87%,69.35,542.13,472.07,74.99,50.00%,65.00%
Ramkrishna Forgings,https://scanx.trade/company/ramkrishna-forgings-ltd,562.55,0.29%,558.65,"3,08,312","10,183.88",47.15,21.9,862.6,474.3,5.86%,5.30%,-25.08%,113.05%,401.52%,3.31,0.36%,12.72%,7.32%,19.02,517.14,574.02,68.17,60.00%,65.00%
Edelweiss Financial Services,https://scanx.trade/company/edelweiss-financial-services-ltd,107.36,-1.76%,109.26,"29,60,845","10,161.34",17.49,3.47,123.5,73.5,-5.76%,-3.44%,-3.59%,212.37%,197.56%,2.34,1.34%,5.17%,13.99%,4.55,107.3,106.33,51.26,60.89%,80.00%
MTAR Technologies,https://scanx.trade/company/mtar-technologies-ltd,"3,283.50",-3.20%,"3,340.00","6,99,696","10,099.91",163.97,24.35,"3,448.90","1,155.60",38.42%,29.97%,111.23%,93.66%,203.33%,13.98,-,16.68%,11.16%,13.07,"2,555.49","1,958.29",72.13,50.00%,75.00%
IIFL Capital Services,https://scanx.trade/company/iifl-securities-ltd,324,-3.38%,334.35,"6,89,886","10,072.12",17.82,3.47,411.3,180,-14.25%,-3.44%,34.92%,400.39%,575.00%,3.71,0.89%,28.71%,35.99%,20.11,338.14,315.14,43.72,50.00%,70.00%
SBFC Finance,https://scanx.trade/company/sbfc-finance-ltd,91.02,0.99%,90.1,"14,29,614","9,980.09",28.62,3.47,123,79.24,-11.62%,-22.55%,7.30%,-1.28%,-1.28%,3.09,-,8.53%,10.38%,2.5,101.45,106.86,39.95,50.00%,65.00%
Vijaya Diagnostic Centre,https://scanx.trade/company/vijaya-diagnostic-cen-ltd,971.45,-0.87%,980,"1,22,817","9,979.21",66.24,-67.01,"1,192.00",740,-8.28%,-5.25%,-10.51%,130.01%,56.66%,11.64,0.20%,15.59%,19.79%,12.23,"1,003.06","1,009.94",45.65,50.00%,75.00%
Sanofi Consumer Healthcare,https://scanx.trade/company/sanofi-consumer-healthcare-ltd,"4,331.80",0.77%,"4,236.00","1,895","9,976.40",45.46,44.7,"5,894.50","3,990.00",-5.74%,-11.31%,-8.45%,-11.66%,-11.66%,38.54,1.28%,-,83.37%,-,"4,428.85","4,860.45",52.67,50.00%,-
Jubilant Ingrevia,https://scanx.trade/company/jubilant-ingrevia-ltd,626.05,-4.00%,632.5,"2,57,742","9,971.80",36.2,200.88,851.8,535.2,-13.80%,-9.34%,-13.11%,31.03%,132.99%,3.43,0.76%,6.68%,11.00%,10.93,685.19,707.22,41.3,50.00%,75.00%
TSF Investments,https://scanx.trade/company/sundaram-finance-holdings-ltd,447.4,-1.09%,452.6,"1,06,600","9,936.93",21.24,3.47,701.5,240,-2.51%,-25.77%,56.49%,424.50%,579.73%,1.7,1.29%,4.01%,2.03%,25.79,451.95,486.68,53.82,62.82%,100.00%
Vesuvius,https://scanx.trade/company/vesuvius-india-ltd,488.7,-0.51%,491.6,"32,193","9,918.69",41,28.75,646,356.13,1.51%,-1.14%,18.14%,201.57%,367.97%,6.56,0.29%,17.84%,23.79%,124.87,472.02,508.49,56.73,50.00%,-
Thangamayil Jewellery,https://scanx.trade/company/thangamayil-jewellery-ltd,"3,175.50",-3.27%,"3,282.90","36,855","9,870.10",42.5,8.17,"4,149.00","1,523.10",-1.67%,4.42%,74.30%,533.73%,952.12%,8.75,0.38%,24.99%,16.60%,44.17,"3,388.08","2,439.51",41.09,50.00%,60.00%
Elecon Engineering Company,https://scanx.trade/company/elecon-engineering-company-ltd,438.5,-3.77%,456,"3,51,394","9,839.94",21.2,24.35,716.25,361.5,-12.48%,-22.43%,-11.41%,132.28%,1675.30%,4.55,0.44%,22.17%,25.09%,15.86,453.32,559.71,53.3,60.00%,70.00%
Eureka Forbes,https://scanx.trade/company/eureka-forbes-ltd,508.2,1.17%,504.8,"5,11,621","9,828.78",60.53,54.76,668.3,461.5,-19.15%,-6.06%,-9.46%,0.42%,0.42%,2.16,-,-,4.20%,-,596.94,576.26,30.98,60.00%,75.00%
Arvind,https://scanx.trade/company/arvind-ltd,374.65,0.81%,369.95,"10,07,261","9,820.12",23.38,29.53,404,274.8,17.68%,18.39%,7.58%,351.66%,621.17%,2.54,1.01%,9.74%,14.35%,11.81,320.06,330.5,77.04,65.44%,80.00%
Engineers India,https://scanx.trade/company/engineers-india-ltd,173.94,-1.62%,176.8,"12,72,322","9,776.17",18.49,10.58,255.45,142.2,-15.73%,-11.93%,4.21%,107.94%,133.16%,3.67,2.26%,17.55%,23.44%,7.08,191.25,203.51,40.74,63.31%,80.00%
PVR Inox,https://scanx.trade/company/pvr-cinemas-ltd,986.7,-2.78%,"1,019.00","11,11,766","9,689.39",-257.09,17.94,"1,249.70",830,-4.22%,-15.09%,-10.84%,-41.68%,-33.99%,1.4,-,-4.59%,3.16%,-,"1,026.15","1,044.33",48.73,69.66%,80.00%
Azad Engineering,https://scanx.trade/company/azad-engineering-ltd,"1,499.20",-0.98%,"1,514.00","73,739","9,682.09",88.46,24.35,"1,899.00","1,159.45",-9.29%,-9.49%,0.93%,121.28%,121.28%,6.61,-,4.15%,8.73%,11.55,"1,577.67","1,617.97",47.57,50.00%,70.00%
Garware Hi-Tech Films,https://scanx.trade/company/garware-polyester-ltd,"4,152.20",-4.77%,"4,135.00","1,90,699","9,646.55",32.81,11.76,"4,782.90","2,317.35",30.97%,22.07%,18.38%,566.91%,389.21%,4.03,0.28%,8.95%,18.66%,106.73,"3,340.71","3,493.84",70.74,55.86%,60.00%
GR Infraprojects,https://scanx.trade/company/grinfra.ltd,988.8,-1.46%,997.5,"36,890","9,567.68",8.85,8.7,"1,444.40",896.05,-2.07%,-14.03%,-18.61%,-12.31%,-43.40%,1.09,1.24%,23.21%,13.49%,98.89,992.48,"1,170.64",57.49,50.00%,-
NCC,https://scanx.trade/company/ncc-nagarjuna-construction-company-ltd,152.09,-1.97%,154,"17,13,723","9,548.92",11.55,8.7,247.7,138.57,-5.82%,-26.07%,-34.82%,64.51%,101.84%,1.29,1.42%,9.96%,23.70%,12.23,156.57,201.14,50.71,71.80%,80.00%
MMTC,https://scanx.trade/company/mmtc-ltd,63.13,-2.86%,64.82,"19,52,224","9,469.50",44.24,34.45,88.19,44.5,-6.20%,-6.53%,-5.89%,92.47%,115.09%,5.07,-,-,6.91%,-,62.12,65.07,46.76,0.00%,50.00%
Tilaknagar Industries,https://scanx.trade/company/tilaknagar-industries-ltd,452.6,0.40%,448,"6,87,481","9,422.85",40.9,34.89,549.7,199.53,-1.39%,-10.26%,13.14%,317.72%,1490.86%,3.24,0.17%,31.04%,25.53%,8.05,443.44,426.88,57.76,50.00%,70.00%
Time Technoplast,https://scanx.trade/company/time-technoplast-ltd,190.49,0.84%,188.99,"30,91,930","9,403.26",21.79,24.12,249.15,153.3,-3.05%,-9.74%,-2.90%,373.27%,618.02%,2.43,0.61%,9.61%,18.71%,14.7,185,206.58,60.08,62.00%,80.00%
Aequs,https://scanx.trade/company/aequs-ltd,139.77,-0.43%,140,"4,91,364","9,373.89",-187,24.35,165.4,131.14,1.75%,-7.61%,-7.61%,-7.61%,-7.61%,5.52,-,-,-2.97%,-,-,-,50.59,-,75.00%
Waaree Renewable Technologies,https://scanx.trade/company/sangam-renewables-ltd,898.4,-2.79%,926.95,"1,92,396","9,365.51",23.16,10.58,"1,358.00",841.15,-8.01%,-25.31%,4.92%,4.92%,4.92%,14.66,0.11%,-,62.17%,-,951.76,"1,036.97",44.73,50.00%,70.00%
Shaily Engineering Plastics,https://scanx.trade/company/shaily-engineering-plastics-ltd,"2,037.30",-1.16%,"2,071.50","84,323","9,362.43",64.81,24.12,"2,799.90","1,308.65",-9.05%,-14.12%,22.38%,555.29%,404.66%,14.91,0.10%,-,22.13%,-,"2,255.27","2,050.79",47.39,50.00%,75.00%
Corona Remedies,https://scanx.trade/company/corona-remedies-ltd,"1,526.00",3.49%,"1,482.10","65,118","9,333.03",52.71,16.76,"1,541.00","1,336.60",5.72%,6.09%,6.09%,6.09%,6.09%,13.69,0.49%,-,30.30%,-,-,-,60.32,-,70.00%
Relaxo Footwears,https://scanx.trade/company/relaxo-footwears-ltd,372.65,-0.89%,376,"69,067","9,276.70",55.72,28.5,555,354.2,-7.60%,-13.98%,-30.63%,-53.69%,-55.73%,4.43,0.80%,10.02%,10.84%,7.57,395.08,434.23,42.5,71.20%,70.00%
Sanofi,https://scanx.trade/company/sanofi-india-ltd,"4,009.00",-0.67%,"4,033.00","8,311","9,232.98",23.46,44.7,"6,717.00","3,976.00",-3.21%,-15.62%,-26.53%,-25.12%,-48.59%,10.8,2.89%,59.39%,48.50%,213.31,"4,155.82","5,137.19",40.64,73.50%,80.00%
JK Lakshmi Cement,https://scanx.trade/company/jk-lakshmi-cement-ltd,743.55,-2.27%,758.3,"2,47,259","9,230.76",20.42,30.45,"1,021.20",660.5,-6.86%,-12.72%,-6.42%,-0.30%,107.72%,2.55,0.81%,14.53%,8.91%,38.89,773.07,849.83,40.27,69.98%,80.00%
Star Cement,https://scanx.trade/company/star-cement-ltd,222.54,-0.34%,221.3,"1,83,098","9,178.19",29.91,30.45,308.95,197.09,0.01%,-11.44%,5.98%,99.32%,119.90%,3,-,10.25%,8.01%,5.76,219.89,236.8,56.02,50.00%,70.00%
Mamaearth,https://scanx.trade/company/mama-earth-ltd,281,1.37%,275.1,"1,97,515","9,142.89",68.7,34.45,334.2,197.51,-4.01%,0.04%,20.87%,-16.64%,-16.64%,7.11,-,10.09%,7.86%,3.89,277.39,283.98,53.24,50.00%,70.00%
ASK Automotive,https://scanx.trade/company/ask-automotive-ltd,461.35,0.45%,459.3,"97,790","9,095.17",32.04,173.23,578.5,333.3,-4.30%,-3.69%,3.87%,48.77%,48.77%,7.84,0.22%,21.28%,25.17%,9.93,467.86,479.4,52.99,50.00%,75.00%
Banco Products,https://scanx.trade/company/banco-products-ltd,635.15,-1.39%,644.1,"98,715","9,085.01",21.29,173.23,879.8,297.5,-10.38%,-22.56%,41.58%,550.10%,721.67%,5.64,1.71%,23.52%,32.39%,37.93,662.67,637.75,52.23,50.00%,75.00%
RHI Magnesita,https://scanx.trade/company/orient-refractories-ltd,439.7,-1.27%,445.5,"80,341","9,079.87",58.32,28.75,547.9,376.45,-3.43%,-7.75%,-6.72%,-43.39%,89.98%,2.28,0.56%,-15.62%,6.99%,6.58,447.25,465.93,49.91,68.31%,80.00%
Le Travenues Technology (IXIGO),https://scanx.trade/company/le-travenues-technology-ixigo-ltd,207.46,-0.63%,208.7,"9,46,542","9,078.02",163.48,47.54,339.15,117,-14.13%,-20.50%,34.64%,12.23%,12.23%,4.62,-,6.04%,12.97%,1.27,239.2,234.44,41.35,60.00%,70.00%
Balrampur Chini Mills,https://scanx.trade/company/balrampur-chini-mills-ltd,446.65,1.13%,441.65,"1,69,383","9,020.12",22.02,17.04,627.8,393.55,1.85%,-0.72%,-4.84%,22.15%,175.97%,2.28,0.68%,15.72%,14.34%,26.33,432.83,514.51,62.18,60.00%,80.00%
Embassy Developments,https://scanx.trade/company/indiabulls-real-estate-ltd,64.79,-0.64%,65.99,"8,18,287","9,009.91",-40.84,8.7,156.9,55.69,14.49%,-30.12%,-57.06%,-4.30%,-22.87%,0.87,-,-,3.63%,-,66.61,92.99,49.55,-,100.00%
Jyothy Laboratories,https://scanx.trade/company/jyothy-laboratories-ltd,243.89,0.26%,243.95,"3,18,602","8,955.99",24.13,85.52,423,238.71,-14.21%,-22.71%,-41.28%,16.50%,54.75%,4.36,1.44%,20.40%,22.69%,10.21,271.98,318.92,32.63,68.36%,80.00%
Varroc Engineering,https://scanx.trade/company/varroc-engineering-ltd,582.1,-5.18%,610.85,"3,46,911","8,893.70",63.29,173.23,694.7,374.1,-4.70%,-6.90%,10.16%,107.49%,31.47%,5.58,0.16%,3.86%,16.09%,34.44,605.4,573.12,50.19,66.23%,80.00%
Astra Microwave Products,https://scanx.trade/company/astra-microwave-products-ltd,935.95,-1.72%,945,"89,996","8,886.38",56.06,30.03,"1,195.90",584.2,-2.84%,-11.66%,33.70%,268.85%,672.87%,7.77,0.23%,12.53%,21.62%,14.22,939,"1,005.15",46.95,50.00%,70.00%
ESAB India,https://scanx.trade/company/esab-india-ltd,"5,763.50",-0.31%,"5,725.00","4,290","8,871.77",42.62,10.09,"6,425.00","4,133.05",-6.55%,18.05%,17.95%,49.31%,178.60%,21.27,1.56%,53.25%,63.69%,107.25,"5,853.04","5,298.29",52.32,50.00%,-
Latent View Analytics,https://scanx.trade/company/latent-view-analytics-ltd,428.1,-1.59%,433.15,"3,90,846","8,858.46",45.33,52.74,517.5,341.2,-6.75%,-8.05%,-5.20%,19.53%,-12.41%,5.53,-,11.54%,14.21%,8.01,453.89,431.16,48.01,68.80%,80.00%
Jeena Sikho Lifecare,https://scanx.trade/company/jeena-sikho-lifecare-ltd,708.95,-1.42%,719.15,"2,06,810","8,812.30",265.11,34.45,"2,450.00",400.25,3.92%,-9.41%,-61.01%,150.51%,308.97%,71.25,0.15%,-,35.59%,-,696.52,626.7,55.52,-,60.00%
Black Box,https://scanx.trade/company/black-box-ltd,515.3,-1.67%,528.05,"1,85,168","8,767.99",40.85,52.74,613.8,320.85,-7.55%,-6.12%,3.83%,316.91%,189.72%,9.74,0.19%,-,20.85%,-,523.13,506.03,49.9,-,-
Procter & Gamble Health,https://scanx.trade/company/procter-gamble-health-ltd,"5,244.00",-0.12%,"5,256.00","28,587","8,704.72",28.39,44.7,"6,739.00","4,903.85",-8.02%,-13.55%,-1.10%,27.83%,-26.04%,14.05,2.38%,30.56%,53.90%,128.93,"5,579.31","5,826.99",28.91,73.29%,80.00%
SKF India,https://scanx.trade/company/skf-ltd,"1,760.10",-1.25%,"1,786.00","58,673","8,701.58",16.44,28.57,"5,074.00","1,626.13",-5.24%,-16.93%,-3.91%,-12.65%,91.78%,3.2,0.81%,-,28.79%,-,"1,809.82","2,044.29",48.36,-,80.00%
Apollo Micro Systems,https://scanx.trade/company/apollo-micro-systems-ltd,245.1,-1.63%,250,"14,77,298","8,686.14",111.27,23.21,354.7,103.77,-9.86%,-11.80%,90.80%,715.64%,1917.28%,6.71,0.09%,4.88%,16.16%,1.24,250.5,230.88,48.46,51.00%,70.00%
Sonata Software,https://scanx.trade/company/sonata-software-ltd,309.15,-2.04%,314,"5,20,248","8,669.33",20.04,52.74,557,286.4,-15.34%,-17.39%,-42.41%,0.10%,104.93%,5,1.38%,21.94%,30.13%,14.74,343.54,374.46,38.15,63.79%,80.00%
Aditya Birla Fashion & Retail,https://scanx.trade/company/aditya-birla-fashion-ltd,70.89,2.98%,69.5,"61,14,739","8,652.07",-14.13,23.66,107.75,59.8,-9.30%,-15.73%,-31.90%,-22.34%,22.48%,1.34,-,-1.78%,-1.19%,-,73.27,80.59,53.34,74.79%,80.00%
Pearl Global Industries,https://scanx.trade/company/pearl-global-industries-ltd,"1,877.80",-2.07%,"1,970.00","1,18,885","8,644.70",35.22,23.66,"1,993.30",875,13.55%,44.32%,33.92%,950.64%,2013.93%,6.86,0.60%,20.69%,24.81%,41.17,"1,590.51","1,413.30",72.32,58.02%,75.00%
Clean Science & Technology,https://scanx.trade/company/clean-science-technology-ltd,809.65,1.04%,801.35,"1,37,208","8,604.68",34.7,200.88,"1,600.00",769.55,-6.92%,-17.71%,-45.54%,-45.67%,-48.93%,5.68,0.75%,20.28%,24.59%,23.62,873.42,"1,133.22",37.63,69.02%,80.00%
Tata Teleservices Maharashtra,https://scanx.trade/company/tata-teleservices-ltd,43.95,-2.25%,44.96,"10,38,854","8,591.91",-7.98,-3.3,81.12,41.07,-11.73%,-20.81%,-38.38%,-43.36%,111.81%,-0.45,-,-,-4.84%,-,47.98,57.29,42.59,-,50.00%
Olectra Greentech,https://scanx.trade/company/olectra-greentech-ltd,"1,044.40",-1.86%,"1,071.00","2,45,690","8,572.51",61.16,603.01,"1,714.20",965.1,-16.31%,-31.24%,-23.44%,122.09%,524.08%,7.78,0.04%,7.95%,19.16%,10.08,"1,158.07","1,321.47",39.57,50.00%,65.00%
Manorama Industries,https://scanx.trade/company/manorama-industries-ltd,"1,428.70",3.78%,"1,380.00","2,18,636","8,530.56",38.37,30.92,"1,760.00",740.5,2.73%,7.87%,35.99%,628.52%,596.35%,14.6,0.04%,11.90%,36.35%,7.06,"1,311.09","1,378.96",62.36,50.00%,70.00%
India Shelter Finance,https://scanx.trade/company/india-shelter-finance-ltd,783.35,-3.31%,814,"72,218","8,506.95",19.71,13.41,"1,011.75",607,-4.50%,-11.65%,22.05%,43.81%,43.81%,3.01,0.61%,10.77%,11.06%,26.49,817.3,872.6,46.29,50.00%,70.00%
Healthcare Global Enterprises,https://scanx.trade/company/healthcare-global-enterprises-ltd,597.3,-1.96%,609.65,"1,72,976","8,422.39",208.44,-67.01,804.65,472.55,-8.86%,-21.68%,12.53%,110.99%,283.50%,9.32,-,2.03%,8.47%,3.57,665.88,638.84,36.93,50.00%,70.00%
Religare Enterprises,https://scanx.trade/company/religare-enterprises-ltd,253.25,-2.13%,256.1,"8,95,607","8,376.36",60.41,3.47,295,202.52,1.68%,-3.51%,7.14%,61.15%,252.23%,2.91,-,118.34%,7.94%,0.35,240.06,243.52,57.84,50.00%,60.00%
Westlife Foodworld,https://scanx.trade/company/westlife-development-ltd,535.2,12.28%,483.8,"1,04,38,052","8,345.70",236.14,225.72,893.35,464.3,-0.64%,-8.55%,-39.22%,-22.55%,15.02%,11.94,0.16%,19.72%,21.35%,2.8,526.82,647.97,59.76,60.00%,-
Birla Corporation,https://scanx.trade/company/birla-corporation-ltd,"1,080.60",-1.61%,"1,093.90","64,864","8,321.20",16.33,30.45,"1,535.30",910.25,-2.59%,-9.87%,-7.90%,16.38%,31.77%,1.38,0.91%,6.30%,6.05%,50.47,"1,070.83","1,222.82",53.5,67.88%,80.00%
Zee Entertainment,https://scanx.trade/company/zee-entertainment-ltd,85.96,1.36%,84.81,"74,81,859","8,256.62",14.45,17.94,151.7,78.4,-5.66%,-15.68%,-20.26%,-61.03%,-65.54%,0.7,2.87%,2.34%,8.03%,4.2,90.37,112.02,48.95,61.88%,80.00%
Campus Activewear,https://scanx.trade/company/campus-activewear-ltd,269.05,-1.14%,274,"3,11,361","8,220.29",65.35,28.5,304.4,210,2.75%,-2.52%,-2.94%,-29.03%,-28.99%,19.44,-,25.20%,32.89%,4.97,261.54,269.62,59.62,60.00%,75.00%
Gujarat Pipavav Port,https://scanx.trade/company/gujarat-pipavav-port-ltd,169.74,1.03%,169,"11,69,165","8,205.91",17.08,38.29,200.09,122.5,-6.89%,4.28%,12.68%,91.04%,77.74%,3.4,4.87%,14.78%,21.64%,8.51,180.78,163,45.02,68.08%,80.00%
Triveni Engineering & Industries,https://scanx.trade/company/triveni-engineering-industries-ltd,373.9,-0.80%,377.5,"1,43,030","8,184.60",28.6,17.04,468.1,313.1,-1.92%,4.34%,-1.57%,37.44%,395.23%,2.67,0.66%,67.23%,10.84%,16.39,362.32,372.28,56.84,66.38%,80.00%
KRBL,https://scanx.trade/company/krbl-ltd,355.8,-2.23%,363.9,"2,88,070","8,143.90",13.67,30.92,495,241.25,-10.24%,-5.17%,25.72%,-10.52%,71.64%,1.52,0.96%,14.94%,12.15%,21.31,375.58,380.3,50.03,68.19%,80.00%
Transport Corporation of India,https://scanx.trade/company/transport-corporation-of-india-ltd,"1,061.10",-2.61%,"1,098.00","27,326","8,141.50",19.12,38.29,"1,289.00",876,-1.93%,-10.21%,1.43%,72.66%,316.12%,3.5,0.73%,17.40%,19.86%,46.44,"1,053.46","1,129.31",51.99,50.00%,-
Marksans Pharma,https://scanx.trade/company/marksans-pharma-ltd,179.55,1.35%,177.16,"20,58,370","8,138.79",22.7,18.72,276.4,156,-1.45%,-3.88%,-26.68%,187.97%,208.24%,2.98,0.45%,15.03%,18.67%,7.37,179.54,203.59,57.34,62.14%,80.00%
Amagi Media Labs,https://scanx.trade/company/amagi-media-labs-ltd,374,0.17%,370.8,"2,23,615","8,091.08",-117.5,38.29,391.8,318,7.39%,7.39%,7.39%,7.39%,7.39%,15.24,-,-,-8.21%,-,-,-,-,-,-
Voltamp Transformers,https://scanx.trade/company/voltamp-transformers-ltd,"7,957.00",3.66%,"7,670.00","1,39,783","8,050.19",23.61,-0.1,"10,088.00","6,051.00",1.02%,8.03%,8.10%,214.18%,540.87%,4.72,1.30%,22.71%,27.10%,332.14,"7,636.60","8,027.39",65.19,50.00%,75.00%
Alok Industries,https://scanx.trade/company/alok-industries-ltd,16.17,-1.10%,16.39,"51,68,472","8,028.79",-12.99,118.54,23.5,14,-0.55%,-7.60%,-12.74%,25.84%,-23.00%,-0.39,-,4.28%,-3.59%,-,15.87,17.84,58.33,50.00%,60.00%
KPI Green Energy,https://scanx.trade/company/kpi-global-infra-ltd,405.25,-1.69%,411.5,"5,76,477","7,997.25",17.79,22.3,563,336,-16.47%,-23.83%,-1.22%,293.22%,2778.20%,3.08,0.19%,-,13.02%,-,430.94,469.82,41.78,50.00%,75.00%
